"parent_column","spelling","rows_in_prod","existing_type_or_category","proposed_source_name","proposed_kind","proposed_locality","proposed_acquired_from","proposed_website","confidence","action","reason","residue_stays_in_free_text"
"inventory_items.source","Amazon","107","amendment+climate_control+containers+fertilizer+growing_media+lighting+other+pest_control+seeds+shelving+tools","Amazon","retail","","","https://www.amazon.com","high","new","The single largest spelling (107 rows) across 11 item categories. Pure retailer, never a grower.",""
"plants.source_ref","Amazon","4","nursery_transplant","Amazon","retail","","","https://www.amazon.com","high","merge","Same retailer as the 107 inventory rows; 9 places appear in both columns and this is one.",""
"inventory_items.source","Belchertown Plant Swap","2","seeds","Belchertown Plant Swap","plant_swap","Belchertown, MA","","","high","merge","Same event, reached from the inventory column - one of the 9 shared places.",""
"plants.source_ref","Belchertown Plant Swap June","1","plant_swap","Belchertown Plant Swap","plant_swap","Belchertown, MA","","","high","merge","One event, three typings. All three plants rows fall in 2026-06-17..2026-07-09 and the month is in every spelling. Note the acquisition types DISAGREE across them (plant_swap / gift / nursery_transplant) - that axis is plants.source_type and is untouched.","'June' - the event date; no column for it here"
"plants.source_ref","Belchertown Plant Swap June 2026","1","gift","Belchertown Plant Swap","plant_swap","Belchertown, MA","","","high","merge","Same event as above, with the year spelled out.","'June 2026'"
"plants.source_ref","Belchertown Plant swap June","1","nursery_transplant","Belchertown Plant Swap","plant_swap","Belchertown, MA","","","high","merge","Same event; differs from row 1 only in the case of one letter.","'June'"
"inventory_items.source","Best Buy","1","other","Best Buy","retail","","","","high","new","One row, category=other. Electronics, not garden - correctly a retail source all the same.",""
"plants.source_ref","Big Y sale","2","nursery_transplant","Big Y","retail","","","","high","new","Regional supermarket. 'sale' is the circumstance of the purchase, not part of the name.","'sale'"
"plants.source_ref","Bonnie","5","nursery_transplant","Bonnie Plants","brand","","Home Depot, Greenfield","","high","split","DAVE RULED 2026-09-03: 'bonnie is the supplier, and absolutely a note i want to keep, but i likely bought it from Home Depot in Greenfield, so two additional useful pieces of info.' This is the two-FK design working as intended - Bonnie Plants is the ORIGINATOR (source_id) and Home Depot Greenfield is the SHOP (acquired_from_source_id). NOTE HIS WORD 'LIKELY': the shop is his recollection, not a record, and must be stored as such rather than promoted to a fact - see the residue. Do not let a later pass read it back as evidenced.","Dave's 'likely' - the Home Depot attribution is recalled, not recorded, and the uncertainty travels with it"
"plants.source_ref","Bostrom Farms","2","nursery_transplant","Bostrom Farms","farm_stand","","","","medium","new","Two rows, 2026-07-26 and 2026-08-05, nursery_transplant. Classified farm_stand rather than nursery because the name is a farm - Dave may reclassify.",""
