"proposed_source_name","proposed_kind","proposed_locality","proposed_address","proposed_website","notes_seed","rows_affected","rows_as_acquired_from","spellings_merged","spelling_examples","confidence","needs_dave","why"
"Botanical Interests","seed_company","","","","","175","0","5","Botanical Interests (via Gardener’s Supply Company, Hadley MA (retail store)) | Botanical Interests online order #350019 (confirmed 2026-07-08, received 2026-07-18); July 2026 intake. | Botanical Interests online order; captured 2026-06-10 as official seed->plant pipeline seeding | Botanical Interests packet | Botanical Interests","high","",""
"Amazon","retail","","","https://www.amazon.com","","168","4","2","Amazon | Amazon","high","",""
"Bentley Seeds","seed_company","","","","","53","0","1","Bentley Seeds order #50330","high","",""
"Starview Gardens","nursery","","","","","48","0","2","Starview | Starview Gardens","high","",""
"Mary's Heirloom Seeds","seed_company","","","","","36","0","1","Mary's Heirloom Seeds online order (HOMESTEAD discount); July 2026 intake. Received 2026-07-17.","high","",""
"Sandia Seed Company","seed_company","","","","","35","0","1","Sandia Seed Company online order #152165; August 2026 intake.","high","",""
"Home Depot","retail","","","","","26","5","2","Home Depot | Home Depot","high","",""
"Long River Produce Market","market","Deerfield, MA","","","","28","0","3","Long River | Long River Market, Deerfield, MA, USA | Long River Produce Market","high","",""
"Four Phantoms Brewing Company","organization","Greenfield, MA","","","Brewery at 301 Wells St. Not a plant source in its own right - it is where Dave met Jen, a co-owner, who gave him 12 plants. The venue half of a person-met-at-a-place split.","0","12","0","(no spelling of its own)","high","YES","Named only as the acquired_from of 'Jen from Four Phantoms' (12 rows); it has no free-text spelling of its own, so the mapping alone would never create it. Dave confirmed the identity and the co-owner relationship on 2026-09-03."
"Gardener’s Supply Company","garden_center","Hadley, MA","","","Retail store. Stocks Botanical Interests, Seed Savers Exchange and High Mowing packets - 12 seed lots so far are branded goods bought here rather than mail-ordered.","0","12","0","(no spelling of its own)","high","YES","Named only inside three '(via ...)' parentheticals and in metadata.purchase_location on 12 rows; it has no free-text spelling of its own, so the mapping alone would never create it. This is the row that makes Dave's brand-vs-shop question answerable."
"Jen","person","Greenfield, MA","","","","12","0","1","Jen from Four Phantoms","high","",""
"Walmart","retail","","","","","9","0","1","Walmart","high","",""
"Belchertown Plant Swap","plant_swap","Belchertown, MA","","","","5","3","4","Belchertown Plant Swap | Belchertown Plant Swap June | Belchertown Plant Swap June 2026 | Belchertown Plant swap June","high","",""
"Johnny's Selected Seeds","seed_company","Winslow, ME","","https://www.johnnyseeds.com","","8","0","1","Johnny's Selected Seeds","high","",""
"High Mowing Organic Seeds","seed_company","","","","","7","0","4","High Mowing Organic Seeds | High Mowing Organic Seeds (via Gardener’s Supply Company, Hadley MA (retail store)) | High Mowing packet | High Mowing Organic Seeds","high","",""
"Seed Savers Exchange","seed_company","Decorah, IA","","","","7","0","3","Seed Savers Exchange (via Gardener’s Supply Company, Hadley MA (retail store)) | Seed Savers Exchange packet | Seed Savers Exchange","high","",""
"Greenfield Farmers Co-op","market","Greenfield, MA","","","","6","0","3","Greenfield Co-op | Greenfield Co-op | Greenfield Farmers Co-op","high","",""
"Bonnie Plants","brand","","","","","5","0","1","Bonnie","high","",""
"Whately Plant Swap","plant_swap","Whately, MA","","","","5","0","2","Whatley Giving Garden | Whatley Plant Swap","high","",""
"Burpee","seed_company","","","","","4","0","1","Burpee","high","",""
"Ojos de Luna","person","","","","","4","0","1","Ojos de Luna","high","",""
"Skawski Farms","nursery","","","https://www.skawskifarms.com","","4","0","3","Shawski Farm | Shawski Farms | Skawski Farms","high","",""
"Chapley Gardens","nursery","Deerfield, MA","397 Greenfield Rd","","","3","0","1","Chapley Gardens - 397 Greenfield Rd Deerfield MA","high","",""
"Imogen","person","","","","","3","0","1","Imogen","high","",""
"Big Y","retail","","","","","2","0","1","Big Y sale","high","",""
"Bostrom Farms","farm_stand","","","","","2","0","1","Bostrom Farms","medium","YES","Two rows, 2026-07-26 and 2026-08-05, nursery_transplant. Classified farm_stand rather than nursery because the name is a farm - Dave may reclassify."
"GoveeLife","brand","","","","","2","0","1","Amazon (GoveeLife)","high","",""
"Hillfolk Seed Collective","seed_company","","","","","2","0","1","Hillfolk Seed Collective","high","",""
